Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
Lil Wayne ,Shoes,1,0,139,0,264064,264064,2020/8/28,hip hop,Hip Hop
YoungBoy Never Broke Again ,Call Me Late,1,0,193,0,264039,264039,2020/2/21,baton rouge rap,Hip Hop
NF ,No Excuses,1,0,174,0,264022,264022,2018/3/1,hip hop,Hip Hop
Gunna ,WUNNA FLO,1,0,157,0,264016,264016,2024/1/26,atl hip hop,Hip Hop
Sam Hunt ,Sinning With You,1,0,147,0,263831,263831,2020/1/3,contemporary country,Country
Maluma ,Qué Pena,1,0,155,0,263814,263814,2019/9/27,latin pop,Pop
Alec Benjamin ,Must Have Been The Wind,1,0,149,0,263805,263805,2020/5/29,alt z,Pop
21 Savage ,out for the night  part 2,1,0,130,0,263770,263770,2018/12/24,atl hip hop,Hip Hop
blackbear ,bright pink tims,1,0,123,0,263767,263767,2017/11/27,pop,Pop
The Lumineers ,Donna,1,0,149,0,263722,263722,2006/1/24,folk-pop,Pop
YNW Melly ,Billboard,1,0,171,0,263715,263715,2019/4/5,melodic rap,Hip Hop
Lil Tjay ,What You Wanna Do,1,0,125,0,263689,263689,2021/4/2,brooklyn drill,Hip Hop
Rod Wave ,Fading,1,0,164,0,263570,263570,2021/5/5,florida rap,Hip Hop
Dua Lipa ,Physical,1,0,141,0,263466,263466,2020/3/27,dance pop,Pop
Martin Garrix ,Dreamer,1,0,156,0,263410,263410,2023/9/8,dutch edm,Electronic
NAV ,No Ice,1,0,147,0,263085,263085,2022/10/28,canadian hip hop,Hip Hop
Chance the Rapper ,Pusha Man,1,0,164,0,262934,262934,2013/4/30,chicago rap,Hip Hop
Jeremy Zucker ,supercuts,1,0,158,0,262884,262884,2020/7/24,alt z,Pop
Don Toliver ,No Photos,1,0,188,0,262788,262788,2020/3/13,pop rap,Hip Hop
Luke Bryan ,That's My Kind Of Night,5,0,176,0,56887,262728,2013/1/1,contemporary country,Country
Rick Ross ,Rich Nigga Lifestyle,1,0,148,0,262679,262679,2019/8/15,dirty south rap,Hip Hop
Mac Miller ,It Just Doesn’t Matter,1,0,158,0,262577,262577,2021/10/15,hip hop,Hip Hop
Kehlani ,Lexii's Outro,1,0,149,0,262417,262417,2020/5/8,pop,Pop
Thomas Rhett ,Up,1,0,174,0,262246,262246,2024/3/1,contemporary country,Country
